id,name,created_at,advertisers_entities.id,entities.short_name,countries.name,countries.alpha2,advertisers_platforms.advertiser_platform_ref,advertisers_platforms.advertiser_platform_name,platforms.name
43d6093b-28e2-4390-8015-f6f4b1239bcc,Länsi-Uudenmaan Demarit,2023-12-08T05:05:37.356Z,f1be5489-d7a4-491c-9c11-3169f2620716,SDP,Finland,fi,102450639055158,Länsi-Uudenmaan Demarit,Facebook
b88a8471-beb0-44bd-bf91-8df945b8e85e,Ville Ylikahri,2022-08-16T15:24:02.476Z,f6758252-a8a2-40c4-9ad2-3f6a22d6899f,VIH,Finland,fi,115364491860124,Ville Ylikahri,Facebook
be08fcf4-fc3a-461a-bfce-2af66589f7e2,Uudenmaan Vasemmistoliitto,2023-03-09T10:52:12.879Z,4d8133c2-28ac-4da9-92bd-362111abb202,VAS,Finland,fi,116972474980813,Uudenmaan Vasemmistoliitto,Facebook
a282ab4e-c7e3-4637-800c-3f88da68fcef,Ville Hämäläinen,2022-08-16T15:24:02.506Z,ac4b1d7d-caad-4a31-bb08-819fe2b31d80,PER,Finland,fi,266811480083754,Ville Hämäläinen,Facebook
9cc036be-3e45-4b11-bfc7-f3344ff90710,Muhoksen Kokoomus,2023-03-08T16:39:41.863Z,18ad4b6f-c567-4f38-a08c-f1cc7eb863b6,KOK,Finland,fi,730690833736865,Muhoksen Kokoomus,Facebook
a07956a4-8ca2-433c-ae2b-93e8230140a9,Kokoomuksen Lapuan ehdokkaat,2023-03-10T10:51:59.221Z,97c48cf9-e7cd-447e-986e-4f4f09f95e4d,KOK,Finland,fi,109004368039913,Kokoomuksen Lapuan ehdokkaat,Facebook
c9e33bb2-d0e3-46d1-b9f6-cf7c0931d287,Markus Eerola,2023-02-25T10:52:09.486Z,5bd7e29e-0d4c-441c-92cb-85e6cd81ee4b,KOK,Finland,fi,105081839141336,Markus Eerola,Facebook
de377e3b-8ab4-4622-9377-297183155753,Kristian Tervo,2022-08-16T15:24:02.514Z,9d65d14b-88e9-4534-8785-fac947e37863,KOK,Finland,fi,120465104633369,Kristian Tervo,Facebook
c650621d-0297-4078-8c2a-713873ec92b8,Sameli Sivonen,2022-08-16T15:24:15.941Z,f16477a3-0293-46f9-883e-0502494c12f6,VIH,Finland,fi,466817883509788,Sameli Sivonen,Facebook
9caa9761-db70-4809-98b0-ab0df60eaf37,Satu Melkko,2022-08-16T15:24:16.072Z,69d39b2e-9f5f-47f0-acfe-33eeada1199e,KD,Finland,fi,1466885586663460,Satu Melkko,Facebook
3d55a689-97bf-4cf5-b63e-43b0e92a2ea6,Siiri Muhonen,2022-08-16T15:24:16.187Z,6cb3d6a6-5a2f-44ea-b043-d33d7277f079,SDP,Finland,fi,275232143062446,Siiri Muhonen,Facebook
f2606fa6-ebae-4a54-bcdc-bee9aa5a7f06,Tanja Maria Nyman,2022-08-16T15:24:16.311Z,8b3b2d06-1194-406f-a76e-5f1f8a696a30,RKP,Finland,fi,1563024037271370,Tanja Maria Nyman,Facebook
7c4b23eb-7558-4618-94d9-54e9486ae6ce,Tero Koski,2022-08-16T15:24:16.432Z,2b7038b9-8cc8-4f6c-a88d-0c963b25caa7,MUUT,Finland,fi,755396851513090,Tero Koski,Facebook
3aa3ee74-5743-4488-bef8-bcb810a46935,Tiina Tasmuth,2022-08-16T15:24:16.734Z,7a97115d-b8ff-4d94-a5e1-818ad46a03e7,KES,Finland,fi,176648065692346,Tiina Tasmuth,Facebook
8537c1f6-9a2b-4941-93a4-c11100ea115a,Tommi Pesonen,2022-08-16T15:24:16.864Z,a739d807-4726-4695-9158-3a115cfb26ac,KOK,Finland,fi,1035350549998500,Tommi Pesonen,Facebook
776dfb5c-6588-4d2a-878c-0f86767b1a5b,Ulla Kaukola,2022-08-16T15:24:16.993Z,0ec2215b-a8e9-49f7-b0fb-6ba77272a8fd,SDP,Finland,fi,351583058252732,Ulla Kaukola,Facebook
d6289051-a292-49e5-8613-89dc3690a1fd,Vilho Mikkonen,2022-08-16T15:24:17.125Z,5ec69d4c-e407-425b-8de3-9fe65fd1e461,SDP,Finland,fi,1980814601938730,Vilho Mikkonen,Facebook
ede8e6cf-6c8b-4a0a-a9e3-ee48a024fa78,Virpi Montonen,2022-08-16T15:24:17.139Z,46fd2619-b344-4f6c-bbc2-6d5ee59f4fbd,KES,Finland,fi,354297681824859,Virpi Montonen,Facebook
4a6e2222-281c-43d7-8820-a8c8d69a5082,Sakari Rokkanen,2022-08-16T15:24:17.254Z,af8337f0-8f6a-4bbf-b259-82b4345357c7,KOK,Finland,fi,343641445726225,Sakari Rokkanen,Facebook
46f809c5-c5bd-40c5-acfa-3da82f2f4896,Miika Tiainen,2022-08-16T15:24:17.290Z,331b8fba-f826-4a24-8285-d36f751d7f18,SDP,Finland,fi,1947757932141880,Miika Tiainen,Facebook
4f914e72-423f-4861-b080-2e4627cefcd8,Riikka Kevo,2022-08-16T15:24:02.520Z,51034851-73a7-41d1-ae1f-17a91f13ab96,VIH,Finland,fi,1376533045699340,Riikka Kevo,Facebook
58127af5-1ddc-4914-aa7b-851710218f3b,Sharie Sveholm,2022-08-16T15:24:16.134Z,8ad295a7-520a-481a-a33e-4d971cdef5b7,RKP,Finland,fi,2076046785787420,Sharie Sveholm,Facebook
09e3cb6d-a230-44ae-b67d-58724ffb63e2,Janina Paasonen,2022-08-16T15:24:02.442Z,3fc4a508-607b-472c-b872-e504da6e278c,VAS,Finland,fi,219307891738948,Janina Paasonen,Facebook
a4240c1d-39d1-4f36-9c9f-6b37f1598658,Susanne Ekroth,2022-08-16T15:24:16.267Z,9ea546ef-de32-44f6-b7d8-6c72b7df3548,VIH,Finland,fi,368172796910212,Susanne Ekroth,Facebook
9ce563ab-f794-4ecd-b3c9-d7c57bab2dec,Terho Taarna,2022-08-16T15:24:16.403Z,9f1a2a7a-fd2f-42aa-b2bd-41f914ac56ce,VIH,Finland,fi,941165469423477,Terho Taarna,Facebook
9050b3d9-7d10-469d-8ce9-52376eb31a77,Timo Suhonen,2022-08-16T15:24:16.732Z,96072614-8269-44b3-8ad4-4f4cef4c57c1,SDP,Finland,fi,339142479554610,Timo Suhonen,Facebook
d9aaee18-a5f2-4b09-b764-66cf9f609151,Meriläinen Anton,2022-08-16T15:24:02.418Z,ce4acf4b-b9a9-4937-89ee-dda704f3e7e3,VAS,Finland,fi,315596718539748,Meriläinen Anton,Facebook
86e6ee38-f68a-44da-947c-ce2ae4e91f0f,Taneli Kalliokoski,2022-08-16T15:24:16.281Z,ee4d0625-5df3-4abe-af9b-d70e0358309c,KES,Finland,fi,266955043746540,Taneli Kalliokoski,Facebook
4c966a8b-bae1-425f-9559-330c6dc9d85d,Timo Tamminen,2022-08-16T15:24:16.734Z,57d01c47-f26d-4486-8260-440607c56a8b,SDP,Finland,fi,351946502243791,Timo Tamminen,Facebook
